id,conta_id,categoria_id,descricao,data,tipo,valor,status,parcelas_total,parcela_num,recorrencia_id,observacao
,C6,Salário,Feminae Dez,2025-01-01,credito,"500,00",efetivada,,,,
,C6,Carro,Licenciamento Renegade,2025-01-02,debito,"167,74",efetivada,,,,
,C6,Carro,Licenciamento NMax,2025-01-02,debito,"167,74",efetivada,,,,
,C6,Salário,Dra Laura,2025-01-02,credito,"250,00",efetivada,,,,
,C6,Cartão de Crédito,Cartão Porto Seguro,2025-01-03,debito,"454,32",efetivada,,,,
,C6,Moradia,TIM,2025-01-05,debito,"325,78",efetivada,,,,
,C6,Salário,200DEV,2025-01-07,credito,"13288,68",efetivada,,,,
,C6,Reembolso,Lilian Cartão,2025-01-07,credito,"6024,00",efetivada,,,,
,C6,Cartão de Crédito,Carbon,2025-01-07,debito,"13643,62",efetivada,,,,
,C6,Seguro,Mais Vida Prev,2025-01-08,debito,"662,52",efetivada,,,,
,C6,Educação,Santa Felicidade,2025-01-08,debito,"2509,00",efetivada,,,,
,C6,Mãe,Aluguel Mae,2025-01-08,debito,"1448,83",efetivada,,,,
,C6,Renda,FII1,2025-01-08,credito,"181,62",efetivada,,,,
,C6,Investimento,INVESTIMENTO,2025-01-09,debito,"500,00",efetivada,,,,
,C6,Moradia,PomboNet,2025-01-10,debito,"99,99",efetivada,,,,
,C6,Cartão de Crédito,Nubank,2025-01-10,debito,"740,00",efetivada,,,,
,C6,Mãe,Condominio Mae,2025-01-10,debito,"1288,14",efetivada,,,,
,C6,Salário,Mensure,2025-01-10,credito,"55,00",efetivada,,,,
,C6,Renda,FII2,2025-01-14,credito,"38,00",efetivada,,,,
,C6,Renda,FII3,2025-01-15,credito,"336,83",efetivada,,,,
,C6,Renda,FII4,2025-01-17,credito,"27,16",efetivada,,,,
,C6,Reembolso,Natalia,2025-01-18,credito,"1367,00",efetivada,,,,
,C6,Renda,FII5,2025-01-20,credito,"59,60",efetivada,,,,
,C6,Seguro,MetLife,2025-01-21,debito,"134,39",efetivada,,,,
,C6,Carro,Estacionamento Rodoviária Campinas,2025-01-21,debito,"11,90",efetivada,,,,
,C6,Moradia,CPFL,2025-01-22,debito,"521,59",efetivada,,,,
,C6,Carro,Renegade (SET28),2025-01-23,debito,"2218,56",efetivada,48,4,,
,C6,Salário,U-Tillid,2025-01-27,credito,"5260,00",efetivada,,,,
,C6,MISC,Correios,2025-01-27,debito,"72,81",efetivada,,,,
,C6,Investimento,INVESTIMENTO,2025-01-27,debito,"2008,48",efetivada,,,,
,C6,Investimento,INVESTIMENTO,2025-01-30,debito,"2036,90",efetivada,,,,
